Testing 1000 samples...
====================================================================================================
✅ A2020-EM-01-0216: Labels match (728 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0217: Labels match (793 epochs, FPS=4.995)

✅ A2020-EM-01-0219: Labels match (823 epochs, FPS=4.995)

✅ A2020-EM-01-0220: Labels match (858 epochs, FPS=4.995)

✅ A2020-EM-01-0221: Labels match (924 epochs, FPS=4.995)

✅ A2020-EM-01-0222: Labels match (866 epochs, FPS=4.995)

✅ A2020-EM-01-0223: Labels match (763 epochs, FPS=5.0)

✅ A2020-EM-01-0224: Labels match (753 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0225: Labels match (884 epochs, FPS=4.995)

✅ A2020-EM-01-0226: Labels match (805 epochs, FPS=4.995)

✅ A2020-EM-01-0227: Labels match (717 epochs, FPS=4.995)

✅ A2020-EM-01-0228: Labels match (805 epochs, FPS=4.995)

✅ A2020-EM-01-0229: Labels match (899 epochs, FPS=4.995)

✅ A2020-EM-01-0230: Labels match (822 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0231: Labels match (924 epochs, FPS=5.0)

✅ A2020-EM-01-0232: Labels match (825 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0233: Labels match (828 epochs, FPS=4.995)

✅ A2020-EM-01-0235: Labels match (869 epochs, FPS=4.995)

✅ A2020-EM-01-0236: Labels match (829 epochs, FPS=5.0)

✅ A2020-EM-01-0237: Labels match (846 epochs, FPS=4.995)

✅ A2020-EM-01-0238: Labels match (789 epochs, FPS=4.995)

✅ A2020-EM-01-0239: Labels match (833 epochs, FPS=4.972222222222222)

✅ A2020-EM-01-0240: Labels match (894 epochs, FPS=5.0)

✅ A2020-EM-01-0241: Labels match (858 epochs, FPS=4.995)

✅ A2020-EM-01-0243: Labels match (790 epochs, FPS=4.944444444444445)

✅ A2020-EM-01-0244: Labels match (827 epochs, FPS=4.995)

✅ A2020-EM-01-0245: Labels match (851 epochs, FPS=4.995)

✅ A2020-EM-01-0246: Labels match (955 epochs, FPS=4.995)

✅ A2020-EM-01-0247: Labels match (938 epochs, FPS=5.0)

✅ A2020-EM-01-0248: Labels match (858 epochs, FPS=4.995)

✅ A2020-EM-01-0250: Labels match (857 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0251: Labels match (798 epochs, FPS=4.995)

✅ A2020-EM-01-0252: Labels match (716 epochs, FPS=4.995)

✅ A2020-EM-01-0254: Labels match (955 epochs, FPS=4.995)

✅ A2020-EM-01-0255: Labels match (874 epochs, FPS=4.995)

✅ A2020-EM-01-0256: Labels match (876 epochs, FPS=4.995)

✅ A2020-EM-01-0257: Labels match (842 epochs, FPS=4.986111111111111)

✅ A2020-EM-01-0259: Labels match (858 epochs, FPS=4.995)

✅ A2020-EM-01-0260: Labels match (1087 epochs, FPS=4.995)

✅ A2020-EM-01-0262: Labels match (823 epochs, FPS=4.995)

✅ A2020-EM-01-0263: Labels match (716 epochs, FPS=4.995)

✅ A2020-EM-01-0265: Labels match (832 epochs, FPS=4.995)

